"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","nFORCE__Api_Value__c","nFORCE__Is_Default__c"
"a2z8c000000BlfcAAC","0058c00000BxeO9AAJ","false","O-001244","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000Bgz5AAC","a2zHo0000022d9VIAQ","","false"
"a2z8c000000BlfdAAC","0058c00000BxeO9AAJ","false","O-001245","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000Bgz5AAC","a2zHo0000022d9WIAQ","","false"
"a2z8c000000BlfeAAC","0058c00000BxeO9AAJ","false","O-001246","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000Bgz6AAC","a2zHo0000022d9XIAQ","","false"
"a2z8c000000BlffAAC","0058c00000BxeO9AAJ","false","O-001247","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000Bgz6AAC","a2zHo0000022d9YIAQ","","false"
"a2z8c000000BlfgAAC","0058c00000BxeO9AAJ","false","O-001248","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000Bgz7AAC","a2zHo0000022d9ZIAQ","","false"
"a2z8c000000BlfhAAC","0058c00000BxeO9AAJ","false","O-001249","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000Bgz7AAC","a2zHo0000022d9aIAA","","false"
"a2z8c000000BlfiAAC","0058c00000BxeO9AAJ","false","O-001250","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","A 1-4 Family Residence","1.0","a308c000000BgpsAAC","a2zHo0000022d9bIAA","","false"
"a2z8c000000BlfjAAC","0058c00000BxeO9AAJ","false","O-001251","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","A Community Development Project","2.0","a308c000000BgpsAAC","a2zHo0000022d9cIAA","","false"
"a2z8c000000BlfkAAC","0058c00000BxeO9AAJ","false","O-001252","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Agricultural Land Purchased for Development","3.0","a308c000000BgpsAAC","a2zHo0000022d9dIAA","","false"
"a2z8c000000BlflAAC","0058c00000BxeO9AAJ","false","O-001253","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgptAAC","a2zHo0000022d9eIAA","","false"
